language                      Francais
menuitem_toggle_off           Off







#********************************************
#********************************************
#********************************************
#********************************************
#
#   Game messages printed on the console
#
#********************************************
#********************************************
#********************************************
#********************************************

#********************************************
#********************************************
#
#   Greeting message printed on first start
#
#********************************************
#********************************************

welcome_message_heading       Bienvenue dans \g!
welcome_message_intro         La configuration par defaut a ete chargee, par rapport a votre configuration\n\n
welcome_message_vendor        Fournisseur du GL: 
welcome_message_renderer      GL Renderer: 
welcome_message_version       Version du GL: 
welcome_message_finish        \nBon amusement!\n
#\n\nThis Game is supported from KGN (Krawall Gaming Network, www.krawall.de).

#********************************************
#********************************************
#
#   Network compatibility warnings
#
#********************************************
#********************************************

#********************************************
#********************************************
#
#      leaque/highscore messages
#
#********************************************
#********************************************

league_message_rose           \1 monte a la place \3 dans \4 grace a \2.
league_message_dropped        \1 descend  la place \3 dans \4 a cause de \2.

league_message_greet_intro    vous etes 
league_message_greet_sep      ,
league_message_greet_lastsep  et 
league_message_greet          numero \1 sur \2 dans le \3
league_message_greet_new      pas dans le \3

won_rounds_description        la liste des rounds multijoueurs gagnes
won_matches_description       la liste des match multijoueurs gagnes

highscore_description         meilleurs scores personnels
highscore_message_entered     \1 entre dans \2 avec \3 points 
highscore_message_improved    \1 a ameliore son meilleur score personnel de \2 a \3 
highscore_message_move_top    et monte dans le top!
highscore_message_move_pos    et va en position \4.
highscore_message_stay_top    et reste dans le top.
highscore_message_stay_pos    mais reste en position \4.

ladder_description            le top
ladder_message_entered        \1 entre dans \2 avec \3 points 
ladder_message_gained         \1 a gagne \5 points dans \2 
ladder_message_lost           \1 a perdu \5 points dans \2 
ladder_message_move_top       et monte dans le top!
ladder_message_move_pos       et va en position \4.
ladder_message_stay_top       et reste dans le top.
ladder_message_stay_pos       mais reste en position \4.

online_activity_nobody        Personne en ligne.
online_activity_onespec       Un utilisateur en ligne, en mode spectateur.
online_activity_manyspec      \1 utilisateurs en ligne, en mode spectateur.
online_activity_napping       Personne ici. Faites un petit somme...


#********************************************
#********************************************
#
#  messages describing the current gamestate
#
#********************************************
#********************************************

gamestate_deleting_objects    Suppression des objets...\n
gamestate_deleting_grid       Suppression de la grille...\n
gamestate_creating_grid       Creation de la grille...\n
gamestate_done                Termine!\n
gamestate_timeout_intro       \n\ntemps ecoule! Raison:\n
gamestate_timeout_message     L'utilisateur \1 ne sait rien au sujet du netobject \2 ( \3 ).\n

gamestate_reset_center        Remise a zero
gamestate_reset_console       Remise a zero des scores et debut d'un nouveau match a la fin de ce round.\n
gamestate_resetnow_center     Nouveau match!
gamestate_resetnow_console    Remise a zero des scores...\n
gamestate_resetnow_log        Nouveau match\n
gamestate_newround_console    C'est parti (round \1 sur \2)!\n
gamestate_newround_goldengoal C'est parti! (Round special; le gagnant gagne le match)!\n
gamestate_newround_log        Nouveau round\n
gamestate_wait_players        En attente de joueurs reels...\n
gamestate_wait_players_con    En attente de joueurs reels ( seuls des spectateurs sont en ligne )...\n

gamestate_tensecond_warn      Dix secondes restantes!\n
gamestate_30seconds_warn      30 secondes restantes!\n
gamestate_minute_warn         Une minute restante!\n
gamestate_2minutes_warn       Deux minutes restantes!\n
gamestate_5minutes_warn       Cinq minutes restantes!\n
gamestate_10minutes_warn      Dix minutes restantes!\n

gamestate_champ_center        Gagnant(e) du match: \1
gamestate_champ_console       Gagnant(e) global: \1 
gamestate_champ_scorehit      avec \1 points.\n
gamestate_champ_timehit       apres que la limite de \1 minutes soit atteinte.\n
gamestate_champ_default       apres \1 rounds.\n
gamestate_champ_finalscores   Scores finaux:\n

gamestate_winner_winner       Gagnant:
gamestate_winner_ai           IA.
gamestate_winner_humans       Humains.

instant_win_activated         "Instant Win Zone" activee! Entrez-y pour gagner le round.\n
player_win_instant            \1 a gagne \2 points pour avoir atteint la "Instant Win Zone".\n
#********************************************
#********************************************
#
#  messages about player activity
#
#********************************************
#********************************************

player_pingcharity_changed    Ping change de \1 a \2.\n
spam_protection               PROTECTION ANTISPAM: vous devez vous taire pendant \1 secondes.\n
vote_spam_protection          PROTECTION ANTISPAM VOTES: vous ne pouvez plus voter durant \1 secondes.\n
chat_title_text               dit:
player_entered_game           \1 0x7fff7fest entre(e) dans le jeu.\n
player_left_game              \1 0xff7f7fa perdu \2 points.\n
player_leaving_game           \1 0xff7f7fquitte le jeu.\n
player_renamed                \2 s'appelle maintenant \1.\n
player_welcome                \n\nBienvenue \1! Ce serveur utilise la version \2.\n
player_win_default            \1 gagne \2 points pour une raison tres etrange.\n
player_lose_default           \1 perd \2 points pour une raison tres etrange.\n
player_lose_suicide           \1 perd \2 points parcequ'il s'est suicide.\n
player_win_frag               \1 a vaincu \3 et gagne \2 points.\n
player_win_frag_ai            \1 gagne \2 points pour avoir vaincu un IA.\n
player_lose_frag              \1 perd \2 points puisqu'il a cause une erreur generale de protection.\n
player_lose_rim               \1 perd \2 points pour avoir essaye de s'enfuir lachement de l'arene.\n
player_win_survivor           \1 a obtenu \2 points pour etre la derniere equipe active.\n
player_joins_team             \1 se battra avec \2 lors du prochain round.\n
#player_joins_team_now   \1 0x7fff7fnow plays for \2.\n
player_leaves_team            \1 0xff7f7fquitte \2.\n
player_creates_team           \1 a cree une nouvelle equipe.\n
player_nocreate_team          \1 ne peut pas creer actuellement une nouvelle equipe.\n
player_nojoin_team            \1 ne peut pas rejoindre \2 actuellement.\n
player_topologypolice         Order from Topology Police: \1

#camera messages
camera_watching_ai            Observation d'un IA\n
camera_watching_player        Observation de \1\n

#score table
team_scoretable_name          Equipe:
team_scoretable_score         Score:
player_scoretable_name        Joueur:
player_scoretable_team        Membre de l'equipe:
player_scoretable_score       Score:
player_scoretable_ping        Ping:
player_scoretable_alive       Vivant:
player_scoretable_alive_yes   Oui
player_scoretable_alive_no    Non
player_scoretable_pingcharity Ping Charity:           
player_scoretable_nobody      Personne ici.\n
player_scoretable_inactive    Deconnecte



#********************************************
#********************************************
#
#          network messages
#
#********************************************
#********************************************

network_message_timeout_title Le serveur ne repond pas
network_message_timeout_inter Le serveur auquel vous voulez vous connecter n'a pas repondu durant dix secondes.\nil est sans doute inaccessible, ou vous avez mal ecrit son nom dans le menu "connection perso.".

network_message_denied_title  Login refuse
network_message_denied_inter  Le serveur auquel vous voulez vous connecter a refuse votre login.\nLa plupart du temps, c'est parcequ'il est plein.
network_message_lateto_title  Temps ecoule
network_message_lateto_inter  La connexion au serveur etait reussie; cependant, la synchronisation a echoue.\nEssayez juste encore!

network_message_lostconn_title Connexion perdue
network_message_lostconn_inter La connexion avec le serveur a ete perdue. Cela peut etre du a un probleme "physique" du reseau (Cable Ethernet debranche, modem desactive, ...) ou a un crash du serveur (ce qui est plutot une mauvaise nouvelle, envoyez un rapport de bug si possible.)

network_message_abortconn_title Connexion achevee
network_message_abortconn_inter Le serveur a acheve votre connexion

network_master_timeout_title  Le serveur maitre ne repond pas
network_master_timeout_inter  Le serveur maitre ne repond pas, donc la liste des serveurs ne peut pas etre mise a jour.\nVous devrez utiliser l'ancienne liste...

network_master_denied_title   Login du maitre refuse
network_master_denied_inter   Le serveur maitre a refuse votre login. La plupart du temps, ca se produit parcequ'il est complet. Reessayez plus tard.

network_master_upgrage        Une mise a jour est necessaire
network_master_downgrage      Le serveur n'est plus a jour
network_master_incompatible   Le serveur n'est pas compatible
network_master_full           Le serveur est plein
network_master_serverinfo     Version: \1\nURI    : \2\nOptions: \3\n
network_master_players        Joueurs: 
network_master_players_empty  vide
network_master_options        Options:\n

network_connecting_to_server  Connexion a \1...\n
network_connecting_gamestate  En attente du statut de jeu...\n
network_syncing_gamestate     Recu! Synchronisation du statut de jeu...\n
network_warn_unknowndescriptor \n\n\nMessage inconnu recu, avec l'ID \1 \n\nVOUS DEVEZ SANS DOUTE METTRE ARMAGETRON A JOUR!!!!\n
network_error                 Erreur de reseau.\n
network_error_timeout         Le temps de l'utilisateur \1 est ecoule.\n
network_error_shortmessage    Le message de l'utilisateur \1 est trop court.\n
network_error_overflow        L'utilisateur \1 ne sait pas suivre le trafic du reseau.\n
network_killuser              Fin de l'utilisateur \1, ping \2, IP \3: \4\n
network_statistics1           Duree:     \1 secondes\n
network_statistics2           Envoyes:   \2 octets dans \3 paquets (\4 octets/s)\n
network_statistics3           Recus:     \5 octets dans \6 paquets (\7 octets/s)\n

network_login_denial          Login refuse...\n
network_server_login          Login recu de \1.\n
network_server_login_success  Nouvel utilisateur: \1\n


network_toomanyservers        \n\n\nAttention: trop de serveurs en place sur cet ordinateur.\nLeaving the port range that is scanned by clients with default settings.\n\n\n

network_logout_process        Deconnexion du compte...\n 
network_logout_done           Termine!\n
network_logout_server         Deconnexion recue de \1.\n

network_login_process         informations concernant le login envoyee. \nEn attente de la reponse..\n
network_login_failed_full     Connexion echouee: le serveur est complet.\n
network_login_failed_timeout  Connexion echouee: Teps ecoule.\n
network_login_success         Connexion reussie. Utilisateur n° \1 \n
network_login_sync            Synchronisation avec le serveur...\n
network_login_relabeling      Relabeling NetObjects...\n
network_login_sync2           Resynchronisation...\n
network_login_done            Termine!\n

network_kill_preface          Raisons donnees par le serveur:
network_kill_maxidgrabber     Il manque d'identificateurs: votre client etait celui qui en occupait le plus pour lui-meme. La raison de cec peut etre un bug
network_kill_maxiduser        Il manque d'identificateurs: votre client etait celui qui en occupait le plus
network_kill_cheater          Il a suppose que vous trichiez. Si c'est faux, il s'agit d'un bug que vous devriez rapporter
network_kill_error            Une erreur s'est produite lorsq'il traitait les messages de votre client. Il s'gait la plupart du temps d'un bug du serveur ou du client
network_kill_timeout          Le temps est ecoule.
network_kill_logout           Vous vous etes deconnecte regulierement.
network_kill_incompatible     Vous utilisez une version incompatible avec celle du serveur.               
network_kill_full             Le serveur est complet.
network_kill_shutdown         Le serveur s'est eteint.                
network_kill_overflow         Le reseau etait plein.
network_kill_kick             Vous avez ete banni par l'administrateur; veuillez rester a l'ecart.
network_kill_banned           Vous avez ete banni par l'administrateur du serveur. \2
#network_kill_banned         You are banned. Please stay away. The more often you retry to connect, the longer your ban stays.
network_kill_unknown          Aucune raison n'a ete donnee.
network_kill_spamkick         Vous avez ete banni automatiquement pour avoir spamme.
voted_kill_kick               Vous avez ete banni par une foule fachee; veuillez rester a l'ecart.

#*************************************
#*************************************
#
#       vote messages
#
#*************************************
#*************************************

vote_accepted                 Sondage "\1" accepte.\n
vote_rejected                 Sondage "\1" refuse.\n
vote_timeout                  Le temps du sondage "\1" est ecoule.\n
vote_new                      Nouveau sondage: "\1". Allez dans le menu principal pour voter.\n
vote_overflow                 Sondage refuse, trop de sondages en cours.\n
vote_disabled                 Sondage refuse, desactive par l'admin.\n
vote_disabled_spectator       Sondage/voix refuse, desactive par l'admin pour les spectateurs.\n
vote_toofew                   Sondage refuse, trop peu d'utilisaturs en ligne.\n
vote_submitted                Sondage "\2" propose par \1.\n
vote_vote_for                 \1 a vote "pour" au sondage "\2".\n
vote_vote_against             \1 a vote "Contre" au sondage "\2".\n
#********************************************
#********************************************
#
#          the server browser menu
#          and master server messages
#
#********************************************
#********************************************

network_master_unknown        Serveur inconnu
network_master_polling        Requete...
network_master_unreachable    Indisponible
network_master_noserver       Desole, pas de serveur trouve :'(
network_master_servername     Nom du serveur
network_master_score          Score
network_master_users          Utilisateurs
network_master_ping           Ping
network_master_browserhelp    Appuyez sur "enter" pour vous connecter a ce serveur.
network_master_connecting     Connexion au serveur maitre \1...\n
network_master_send           Envoi de mes infos au serveur...\n
network_master_reqlist        Demande de la liste des serveurs...\n
network_master_status         Reception du serveur \1...\n
network_master_finish         Reception de \1 serveurs.\n
network_master_start          Heberger un jeu
network_master_host_inet_help Cela demarrera un jeu sur votre ordinateur, visible sur le Net.
network_master_host_lan_help  Cela demarrera un jeu sur votre ordinateur, mais seulement visible sur votre reseau local.


#********************************************
#********************************************
#
#       Resource messages
#
#********************************************
#********************************************

#********************************************
#********************************************
#
#       Directory messages
#
#********************************************
#********************************************

#********************************************
#********************************************
#
#       map messages
#
#********************************************
#********************************************

# printed on loading a map

# title of map error message

# printed when a map can't be loaded, and the user can do something about it

# printed when a map can't be loaded, and  the failure is the server admin's fault

# worst case: default map could not load, either

# resource at the wrong place

#********************************************
#********************************************
#
#         Texture messages
#
#********************************************
#********************************************

# texture not found error message

#********************************************
#********************************************
#
#         Sound messages
#
#********************************************
#********************************************

sound_error_no16bit           Desole, Une sortie stereo 16 bits est necessaire (Je suis trop paresseux pour developper un support pour d'autres formats... Peut-etre si vous etes tres sage?).\n
sound_error_initfailed        L'initialisation du son a echoue.\n
sound_firstinit               Essai de demarrage du son. Redemarrez juste \g en cas de crash.\n
sound_inited                  son initialise: 16 bit stereo a \1 Hz, taille du buffer \2.\n
sound_disabling               Desactivation du son...\n
sound_disabling_done          Termine!\n
sound_error_filenotfound      Le fichier son \1 n'a pas ete trouve. Avez vous lance \g depuis le bon repertoire?
sound_error_unsupported       Le fichier son \1 n'est pas dans un format supporte. Desole!


#********************************************
#********************************************
#
#         Configuration messages
#
#********************************************
#********************************************

config_command_unknown        Commande \1 inconnue.\n
config_command_other          Vous vouliez sans doute:\n
config_file_write_error       N'a pas pu ecrire dans le fichier de configuration\n
config_value_changed          \1 a change \2 en \3.\n
config_error_read             erreur de lecture de \1: format non valide.\n
config_message_info           \1 est actuellement a \2.\n
nconfig_error_protected       Seul le serveur peut modifier \1.\n
nconfig_error_unknown         Message recu du setting \1 inconnu...\n\n\n\nVOUS DEVRIEZ PROBABLEMENT METTRE ARMAGETRON A JOUR\n
nconfig_value_changed         \1 a change \2 en \3 dans l'ordre du serveur.\n

#*************************************
#*************************************
#
#    Login messages
#
#*************************************
#*************************************

#login texts
login_password_title          Mot de passe
login_password_help           Ecrivez votre mot de passe Krawall ici. Si vous n'en avez pas encore, obtenez-en un sur www.krawall.de ( disponible uniquement pour les joueurs d'Allemagne et des pays limitrophes ). Appuyer sur Enter ici vous connectera

login_cancel                  Annuler la connexion
login_cancel_help             Pour annuler la procedure de connexion

login_username                Nom d'utilisateur
login_username_help           Ecrivez votre nom d'utilisateur Krawall ici. Si vous n'en avez pas encore, obtenez-en un sur www.krawall.de ( disponible uniquement pour les joueurs d'Allemagne et des pays limitrophes ).

login_storepw_text            Stocker les mots de passe:
login_storepw_help            Determine lapolitique de securite concernant les mots de passe.

login_storepw_dont_text       Pas du tout
login_storepw_dont_help       Paranoiaque: supprime le mot de passe juste apres l'avoir utilise

login_storepw_mem_text        En memoire
login_storepw_mem_help        Le mot de passe sera retenu pour cette version de \g

login_storepw_disk_text       Sur le disque
login_storepw_disk_help       Paresseux: stocke le mot de passe sur votre disque dur, de sorte que vous n'ayez pas a le reecrire chaque fois. Bien qu'il soit crypte, c'est assez peu sur

password_help                 Configurations: mot de passe

login_request_failed          La connexion a echoue. Reessayez!
login_request_namechange      Le nom a change; un login est necessaire
login_request_master          Le serveur maitre a besoin d'un login

# access level messages

# various reasons for logins to fail

# items that should not be translated

# Room for lost settings in translation files:


# Outdated:
login_request_first           Login requis sur ce serveur
